# time (microsecs), Volts
10.54880000,-0.00143750
10.54960008,-0.00145312
10.55040016,-0.00145625
10.55120024,-0.00139375
10.55200032,-0.00143750
10.55280040,-0.00150313
10.55360048,-0.00146250
10.55440056,-0.00152500
10.55520064,-0.00139688
10.55600072,-0.00143125
10.55680080,-0.00151875
10.55760088,-0.00145312
10.55840096,-0.00133125
10.55920104,-0.00142187
10.56000112,-0.00152812
10.56080120,-0.00140938
10.56160128,-0.00139688
10.56240136,-0.00144688
10.56320144,-0.00132813
10.56400152,-0.00140313
10.56480160,-0.00145938
10.56560168,-0.00139688
10.56640176,-0.00140313
10.56720184,-0.00144063
10.56800192,-0.00142813
10.56880200,-0.00139063
10.56960208,-0.00139375
10.57040216,-0.00143438
10.57120224,-0.00140000
10.57200232,-0.00145000
10.57280240,-0.00133125
10.57360248,-0.00136875
10.57440256,-0.00136250
10.57520264,-0.00141562
10.57600272,-0.00134375
10.57680280,-0.00133125
10.57760288,-0.00139063
10.57840296,-0.00147188
10.57920304,-0.00144375
10.58000312,-0.00147813
10.58080320,-0.00140625
10.58160328,-0.00140313
10.58240336,-0.00145000
10.58320344,-0.00141562
10.58400352,-0.00128750
10.58480360,-0.00140000
10.58560368,-0.00144063
10.58640376,-0.00140000
10.58720384,-0.00139688
10.58800392,-0.00139375
10.58880400,-0.00134687
10.58960408,-0.00138125
10.59040416,-0.00136250
10.59120424,-0.00132813
10.59200432,-0.00141875
10.59280440,-0.00140000
10.59360448,-0.00143125
10.59440456,-0.00135625
10.59520464,-0.00132500
10.59600472,-0.00141562
10.59680480,-0.00139063
10.59760488,-0.00138437
10.59840496,-0.00131250
10.59920504,-0.00130625
10.60000512,-0.00138125
10.60080520,-0.00136250
10.60160528,-0.00135938
10.60240536,-0.00130313
10.60320544,-0.00140938
10.60400552,-0.00143438
10.60480560,-0.00138125
10.60560568,-0.00141562
10.60640576,-0.00130313
10.60720584,-0.00145312
10.60800592,-0.00145000
10.60880600,-0.00141875
10.60960608,-0.00128438
10.61040616,-0.00140313
10.61120624,-0.00150938
10.61200632,-0.00139688
10.61280640,-0.00142187
10.61360648,-0.00140000
10.61440656,-0.00136250
10.61520664,-0.00139688
10.61600672,-0.00141875
10.61680680,-0.00141562
10.61760688,-0.00140625
10.61840696,-0.00139375
10.61920704,-0.00149688
10.62000712,-0.00139375
10.62080720,-0.00134063
10.62160728,-0.00148438
10.62240736,-0.00143750
10.62320744,-0.00147188
10.62400752,-0.00136563
10.62480760,-0.00138437
10.62560768,-0.00142813
10.62640776,-0.00145000
10.62720784,-0.00137188
10.62800792,-0.00136250
10.62880800,-0.00143125
10.62960808,-0.00151250
10.63040816,-0.00143125
10.63120824,-0.00153438
10.63200832,-0.00138125
10.63280840,-0.00143125
10.63360848,-0.00145938
10.63440856,-0.00145625
10.63520864,-0.00131250
10.63600872,-0.00144688
10.63680880,-0.00151250
10.63760888,-0.00145938
10.63840896,-0.00142500
10.63920904,-0.00138750
10.64000912,-0.00141562
10.64080920,-0.00141562
10.64160928,-0.00145000
10.64240936,-0.00144063
10.64320944,-0.00139375
10.64400952,-0.00146563
10.64480960,-0.00155625
10.64560968,-0.00142187
10.64640976,-0.00139688
10.64720984,-0.00154063
10.64800992,-0.00150000
10.64881000,-0.00148125
10.64961008,-0.00143750
10.65041016,-0.00140938
10.65121024,-0.00146875
10.65201032,-0.00149375
10.65281040,-0.00140000
10.65361048,-0.00140938
10.65441056,-0.00141875
10.65521064,-0.00152188
10.65601072,-0.00147188
10.65681080,-0.00150313
10.65761088,-0.00140000
10.65841096,-0.00142187
10.65921104,-0.00148750
10.66001112,-0.00147500
10.66081120,-0.00136250
10.66161128,-0.00144375
10.66241136,-0.00150625
10.66321144,-0.00140000
10.66401152,-0.00142500
10.66481160,-0.00138437
10.66561168,-0.00137813
10.66641176,-0.00140938
10.66721184,-0.00145938
10.66801192,-0.00140313
10.66881200,-0.00140938
10.66961208,-0.00145000
10.67041216,-0.00146875
10.67121224,-0.00138750
10.67201232,-0.00132813
10.67281240,-0.00145938
10.67361248,-0.00139375
10.67441256,-0.00140000
10.67521264,-0.00142187
10.67601272,-0.00132188
10.67681280,-0.00142500
10.67761288,-0.00140625
10.67841296,-0.00142500
10.67921304,-0.00131563
