# time (microsecs), Volts
9.46400000,0.00012500
9.46800040,0.00015938
9.47200080,0.00013750
9.47600120,0.00019063
9.48000160,0.00016719
9.48400200,0.00015156
9.48800240,0.00018125
9.49200280,0.00015312
9.49600320,0.00014063
9.50000360,0.00011406
9.50400400,0.00011250
9.50800440,0.00010469
9.51200480,0.00013438
9.51600520,0.00005625
9.52000560,0.00002031
9.52400600,-0.00001250
9.52800640,-0.00004063
9.53200680,-0.00007500
9.53600720,-0.00012344
9.54000760,-0.00013125
9.54400800,-0.00014219
9.54800840,-0.00021719
9.55200880,-0.00028125
9.55600920,-0.00028750
9.56000960,-0.00037188
9.56401000,-0.00040938
9.56801040,-0.00038125
9.57201080,-0.00051250
9.57601120,-0.00054375
9.58001160,-0.00057500
9.58401200,-0.00060781
9.58801240,-0.00064687
9.59201280,-0.00068281
9.59601320,-0.00070469
9.60001360,-0.00074063
9.60401400,-0.00074063
9.60801440,-0.00079375
9.61201480,-0.00080313
9.61601520,-0.00085469
9.62001560,-0.00086875
9.62401600,-0.00090938
9.62801640,-0.00091875
9.63201680,-0.00097656
9.63601720,-0.00100469
9.64001760,-0.00101094
9.64401800,-0.00107656
9.64801840,-0.00114219
9.65201880,-0.00116719
9.65601920,-0.00121094
9.66001960,-0.00124531
9.66402000,-0.00130156
9.66802040,-0.00131094
9.67202080,-0.00133125
9.67602120,-0.00140781
9.68002160,-0.00149062
9.68402200,-0.00152812
9.68802240,-0.00158438
9.69202280,-0.00164063
9.69602320,-0.00160156
9.70002360,-0.00172813
9.70402400,-0.00170781
9.70802440,-0.00172188
9.71202480,-0.00173906
9.71602520,-0.00180000
9.72002560,-0.00181719
9.72402600,-0.00178594
9.72802640,-0.00182813
9.73202680,-0.00182031
9.73602720,-0.00186094
9.74002760,-0.00189219
9.74402800,-0.00189063
9.74802840,-0.00192656
9.75202880,-0.00192969
9.75602920,-0.00193750
9.76002960,-0.00200000
9.76403000,-0.00197969
9.76803040,-0.00191719
9.77203080,-0.00197188
9.77603120,-0.00204688
9.78003160,-0.00203438
9.78403200,-0.00206094
9.78803240,-0.00207656
9.79203280,-0.00205938
9.79603320,-0.00207656
9.80003360,-0.00205938
9.80403400,-0.00211875
9.80803440,-0.00212500
9.81203480,-0.00209375
9.81603520,-0.00216563
9.82003560,-0.00215625
9.82403600,-0.00210938
9.82803640,-0.00216250
9.83203680,-0.00218438
9.83603720,-0.00212500
9.84003760,-0.00212188
9.84403800,-0.00214219
9.84803840,-0.00215625
9.85203880,-0.00215156
9.85603920,-0.00213750
9.86003960,-0.00214063
9.86404000,-0.00214844
9.86804040,-0.00212813
9.87204080,-0.00217656
9.87604120,-0.00211563
9.88004160,-0.00217812
9.88404200,-0.00215000
9.88804240,-0.00217344
9.89204280,-0.00210781
9.89604320,-0.00212969
9.90004360,-0.00215156
9.90404400,-0.00211250
9.90804440,-0.00221094
9.91204480,-0.00226406
9.91604520,-0.00224688
9.92004560,-0.00213750
9.92404600,-0.00217188
9.92804640,-0.00200625
9.93204680,-0.00218438
9.93604720,-0.00217188
9.94004760,-0.00217031
9.94404800,-0.00222656
9.94804840,-0.00217188
9.95204880,-0.00213125
9.95604920,-0.00211094
9.96004960,-0.00215469
9.96405001,-0.00211563
9.96805041,-0.00215781
9.97205081,-0.00217031
9.97605121,-0.00209063
9.98005161,-0.00206563
9.98405201,-0.00200469
9.98805241,-0.00198906
9.99205281,-0.00199063
9.99605321,-0.00200469
10.00005361,-0.00194844
10.00405401,-0.00197656
10.00805441,-0.00190156
10.01205481,-0.00192656
10.01605521,-0.00191406
10.02005561,-0.00190313
10.02405601,-0.00183594
10.02805641,-0.00191094
10.03205681,-0.00186250
10.03605721,-0.00185781
10.04005761,-0.00181719
10.04405801,-0.00180469
10.04805841,-0.00185469
10.05205881,-0.00185313
10.05605921,-0.00184375
10.06005961,-0.00184687
10.06406001,-0.00181719
10.06806041,-0.00180156
10.07206081,-0.00176875
10.07606121,-0.00177656
10.08006161,-0.00169375
10.08406201,-0.00171094
10.08806241,-0.00163125
10.09206281,-0.00161250
10.09606321,-0.00152812
10.10006361,-0.00144844
10.10406401,-0.00145469
10.10806441,-0.00137813
10.11206481,-0.00133906
10.11606521,-0.00129063
10.12006561,-0.00126563
10.12406601,-0.00121406
10.12806641,-0.00117344
10.13206681,-0.00117813
10.13606721,-0.00113750
10.14006761,-0.00112500
10.14406801,-0.00109687
10.14806841,-0.00109375
10.15206881,-0.00101875
10.15606921,-0.00104688
10.16006961,-0.00097500
10.16407001,-0.00098594
10.16807041,-0.00097813
10.17207081,-0.00090625
10.17607121,-0.00091250
10.18007161,-0.00089375
10.18407201,-0.00083906
10.18807241,-0.00082813
10.19207281,-0.00077656
10.19607321,-0.00078750
10.20007361,-0.00079219
10.20407401,-0.00071250
10.20807441,-0.00069375
10.21207481,-0.00070781
10.21607521,-0.00063750
10.22007561,-0.00059219
10.22407601,-0.00056250
10.22807641,-0.00055156
10.23207681,-0.00054375
10.23607721,-0.00051250
10.24007761,-0.00047656
10.24407801,-0.00041094
10.24807841,-0.00040000
10.25207881,-0.00038438
10.25607921,-0.00036719
10.26007961,-0.00038125
10.26408001,-0.00030938
10.26808041,-0.00027344
10.27208081,-0.00027969
10.27608121,-0.00025625
10.28008161,-0.00019844
10.28408201,-0.00025625
10.28808241,-0.00019375
10.29208281,-0.00019531
10.29608321,-0.00016875
10.30008361,-0.00016250
10.30408401,-0.00017969
10.30808441,-0.00016406
10.31208481,-0.00016875
10.31608521,-0.00018281
10.32008561,-0.00020469
10.32408601,-0.00023906
10.32808641,-0.00022500
10.33208681,-0.00023906
10.33608721,-0.00020469
10.34008761,-0.00025625
10.34408801,-0.00024375
10.34808841,-0.00024219
10.35208881,-0.00022031
10.35608921,-0.00025781
10.36008961,-0.00025312
10.36409001,-0.00019844
10.36809041,-0.00019063
10.37209081,-0.00019688
10.37609121,-0.00019375
10.38009161,-0.00012656
10.38409201,-0.00018281
10.38809241,-0.00015625
10.39209281,-0.00015000
10.39609321,-0.00012500
10.40009361,-0.00012656
10.40409401,-0.00010000
10.40809441,-0.00003281
10.41209481,-0.00010938
10.41609521,-0.00010938
10.42009561,-0.00009688
10.42409601,-0.00012031
10.42809641,-0.00015000
10.43209681,-0.00015156
10.43609721,-0.00015156
10.44009761,-0.00012969
10.44409801,-0.00021250
10.44809841,-0.00019063
10.45209881,-0.00023594
10.45609921,-0.00027812
10.46009961,-0.00027188
10.46410001,-0.00025938
10.46810041,-0.00037188
10.47210081,-0.00034531
10.47610121,-0.00037656
10.48010161,-0.00037344
10.48410201,-0.00035625
10.48810241,-0.00041094
10.49210281,-0.00039219
10.49610321,-0.00042969
10.50010361,-0.00039063
10.50410401,-0.00043438
10.50810441,-0.00040625
10.51210481,-0.00040938
10.51610521,-0.00040781
10.52010561,-0.00039531
10.52410601,-0.00045625
10.52810641,-0.00044688
10.53210681,-0.00042187
10.53610721,-0.00034062
10.54010761,-0.00040938
10.54410801,-0.00041094
10.54810841,-0.00040469
10.55210881,-0.00040625
10.55610921,-0.00047344
10.56010961,-0.00052500
10.56411001,-0.00049219
10.56811041,-0.00047656
10.57211081,-0.00056094
10.57611121,-0.00056406
10.58011161,-0.00061719
10.58411201,-0.00063281
10.58811241,-0.00067813
10.59211281,-0.00066094
10.59611321,-0.00076406
10.60011361,-0.00077813
10.60411401,-0.00083594
10.60811441,-0.00085781
10.61211481,-0.00083906
10.61611521,-0.00091250
10.62011561,-0.00088906
10.62411601,-0.00094063
10.62811641,-0.00095781
10.63211681,-0.00100625
10.63611721,-0.00098438
10.64011761,-0.00103594
10.64411801,-0.00106875
10.64811841,-0.00105000
10.65211881,-0.00107344
10.65611921,-0.00109531
10.66011961,-0.00110469
10.66412001,-0.00104531
10.66812041,-0.00111094
10.67212081,-0.00113906
10.67612121,-0.00114688
10.68012161,-0.00114375
10.68412201,-0.00114219
10.68812241,-0.00118281
10.69212281,-0.00123438
10.69612321,-0.00120469
10.70012361,-0.00127031
10.70412401,-0.00130937
10.70812441,-0.00129688
10.71212481,-0.00137344
10.71612521,-0.00138437
10.72012561,-0.00140313
10.72412601,-0.00148438
10.72812641,-0.00148906
10.73212681,-0.00154844
10.73612721,-0.00154531
10.74012761,-0.00156094
10.74412801,-0.00164063
10.74812841,-0.00165625
10.75212881,-0.00167188
10.75612921,-0.00167813
10.76012961,-0.00173906
10.76413001,-0.00170000
10.76813041,-0.00176406
10.77213081,-0.00171094
10.77613121,-0.00177188
10.78013161,-0.00179688
10.78413201,-0.00180625
10.78813241,-0.00182031
10.79213281,-0.00180313
10.79613321,-0.00184063
10.80013361,-0.00185625
10.80413401,-0.00182188
10.80813441,-0.00181875
10.81213481,-0.00181406
10.81613521,-0.00183750
10.82013561,-0.00185469
10.82413601,-0.00185000
10.82813641,-0.00185781
10.83213681,-0.00187969
10.83613721,-0.00189063
10.84013761,-0.00186875
10.84413801,-0.00188281
10.84813841,-0.00184219
10.85213881,-0.00192344
10.85613921,-0.00189531
10.86013961,-0.00190469
10.86414001,-0.00190625
10.86814041,-0.00187813
10.87214081,-0.00190313
10.87614121,-0.00191875
10.88014161,-0.00193750
10.88414201,-0.00191094
10.88814241,-0.00194375
10.89214281,-0.00196406
10.89614321,-0.00194688
10.90014361,-0.00197344
10.90414401,-0.00188594
10.90814441,-0.00193594
10.91214481,-0.00196719
10.91614521,-0.00191875
10.92014561,-0.00184531
10.92414601,-0.00190781
10.92814641,-0.00192969
10.93214681,-0.00187188
10.93614721,-0.00186250
10.94014761,-0.00183594
10.94414801,-0.00182344
10.94814841,-0.00178125
10.95214881,-0.00179375
10.95614921,-0.00178125
10.96014961,-0.00175313
10.96415002,-0.00174062
10.96815042,-0.00173906
10.97215082,-0.00176406
10.97615122,-0.00168750
10.98015162,-0.00174688
10.98415202,-0.00170625
10.98815242,-0.00173594
10.99215282,-0.00170781
10.99615322,-0.00171875
11.00015362,-0.00173906
11.00415402,-0.00170625
11.00815442,-0.00172813
11.01215482,-0.00168438
11.01615522,-0.00172188
11.02015562,-0.00172031
11.02415602,-0.00171406
11.02815642,-0.00170156
11.03215682,-0.00171250
11.03615722,-0.00172500
11.04015762,-0.00169688
11.04415802,-0.00167031
11.04815842,-0.00155937
11.05215882,-0.00157813
11.05615922,-0.00158438
11.06015962,-0.00156250
11.06416002,-0.00153125
11.06816042,-0.00146563
11.07216082,-0.00146719
11.07616122,-0.00146094
11.08016162,-0.00138125
11.08416202,-0.00139063
11.08816242,-0.00137500
11.09216282,-0.00135313
11.09616322,-0.00137813
11.10016362,-0.00139688
11.10416402,-0.00133750
11.10816442,-0.00137344
11.11216482,-0.00134531
11.11616522,-0.00135625
11.12016562,-0.00132188
11.12416602,-0.00131094
11.12816642,-0.00132813
11.13216682,-0.00128906
11.13616722,-0.00132344
11.14016762,-0.00129688
11.14416802,-0.00130937
11.14816842,-0.00128125
11.15216882,-0.00127188
11.15616922,-0.00128594
11.16016962,-0.00123906
11.16417002,-0.00124375
11.16817042,-0.00126563
11.17217082,-0.00124062
11.17617122,-0.00112656
11.18017162,-0.00115156
11.18417202,-0.00117187
11.18817242,-0.00115156
11.19217282,-0.00111250
11.19617322,-0.00105313
11.20017362,-0.00103125
11.20417402,-0.00103906
11.20817442,-0.00100469
11.21217482,-0.00099844
11.21617522,-0.00097188
11.22017562,-0.00096563
