Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,2e-06,
Horizontal Delay,2.376e-05,
Sample Interval,2e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
1.3760e-05,-0.00784375,-0.0678125
1.3762e-05,-0.0090625,-0.0634375
1.3764e-05,-0.00815625,-0.0648438
1.3766e-05,-0.00915625,-0.0640625
1.3768e-05,-0.009,-0.0639063
1.3770e-05,-0.008625,-0.0714062
1.3772e-05,-0.0081875,-0.0648438
1.3774e-05,-0.00853125,-0.07
1.3776e-05,-0.00878125,-0.064375
1.3778e-05,-0.00903125,-0.06375
1.3780e-05,-0.00909375,-0.06625
1.3782e-05,-0.0088125,-0.066875
1.3784e-05,-0.0078125,-0.0642188
1.3786e-05,-0.00778125,-0.0689062
1.3788e-05,-0.00915625,-0.068125
1.3790e-05,-0.00871875,-0.0639063
1.3792e-05,-0.00871875,-0.0671875
1.3794e-05,-0.00865625,-0.0609375
1.3796e-05,-0.00953125,-0.0646875
1.3798e-05,-0.008375,-0.0675
1.3800e-05,-0.008,-0.0667188
1.3802e-05,-0.00775,-0.0620312
1.3804e-05,-0.00903125,-0.0678125
1.3806e-05,-0.00865625,-0.0665625
1.3808e-05,-0.009125,-0.0673438
1.3810e-05,-0.00875,-0.0659375
1.3812e-05,-0.00746875,-0.063125
1.3814e-05,-0.00896875,-0.0664062
1.3816e-05,-0.00903125,-0.0679687
1.3818e-05,-0.00878125,-0.0653125
1.3820e-05,-0.008875,-0.0648438
1.3822e-05,-0.00840625,-0.064375
1.3824e-05,-0.008625,-0.0667188
1.3826e-05,-0.008625,-0.0614063
1.3828e-05,-0.0085,-0.0667188
1.3830e-05,-0.0086875,-0.0620312
1.3832e-05,-0.00925,-0.0665625
1.3834e-05,-0.00878125,-0.0676563
1.3836e-05,-0.0080625,-0.065
1.3838e-05,-0.00821875,-0.0679687
1.3840e-05,-0.008375,-0.0654687
1.3842e-05,-0.0089375,-0.0648438
1.3844e-05,-0.0089375,-0.06875
1.3846e-05,-0.0085,-0.06625
1.3848e-05,-0.00690625,-0.06125
1.3850e-05,-0.00784375,-0.0679687
1.3852e-05,-0.009375,-0.0704687
1.3854e-05,-0.00859375,-0.0675
1.3856e-05,-0.00884375,-0.0629688
1.3858e-05,-0.00903125,-0.0628125
1.3860e-05,-0.009375,-0.0654687
1.3862e-05,-0.0086875,-0.06625
1.3864e-05,-0.0083125,-0.06625
1.3866e-05,-0.00828125,-0.0648438
1.3868e-05,-0.007875,-0.0667188
1.3870e-05,-0.0085625,-0.0679687
1.3872e-05,-0.00903125,-0.0660937
1.3874e-05,-0.00871875,-0.0684375
1.3876e-05,-0.0069375,-0.06375
1.3878e-05,-0.00871875,-0.06625
1.3880e-05,-0.00921875,-0.0671875
1.3882e-05,-0.008625,-0.0628125
1.3884e-05,-0.0089375,-0.064375
1.3886e-05,-0.00771875,-0.06375
1.3888e-05,-0.00859375,-0.0689062
1.3890e-05,-0.00853125,-0.0645312
