Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-05,
Horizontal Delay,4.84e-05,
Sample Interval,1e-08,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.05,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
-1.6000e-06,-0.00335156,-0.0504687
-1.5900e-06,-0.00314844,-0.0503125
-1.5800e-06,-0.00327344,-0.0503125
-1.5700e-06,-0.00314844,-0.05125
-1.5600e-06,-0.00315625,-0.0514062
-1.5500e-06,-0.00346094,-0.04875
-1.5400e-06,-0.00317188,-0.0479687
-1.5300e-06,-0.00329687,-0.0489062
-1.5200e-06,-0.00315625,-0.0525
-1.5100e-06,-0.00344531,-0.049375
-1.5000e-06,-0.00335937,-0.0517188
-1.4900e-06,-0.00320313,-0.0485938
-1.4800e-06,-0.003125,-0.0471875
-1.4700e-06,-0.00339844,-0.0498437
-1.4600e-06,-0.00342969,-0.0514062
-1.4500e-06,-0.00335937,-0.0479687
-1.4400e-06,-0.00328125,-0.0485938
-1.4300e-06,-0.00311719,-0.0509375
-1.4200e-06,-0.00314063,-0.0514062
-1.4100e-06,-0.00339062,-0.0496875
-1.4000e-06,-0.003375,-0.0465625
-1.3900e-06,-0.00316406,-0.0548437
-1.3800e-06,-0.00334375,-0.0535938
-1.3700e-06,-0.00325781,-0.0484375
-1.3600e-06,-0.00326562,-0.0523437
-1.3500e-06,-0.00325781,-0.0526563
-1.3400e-06,-0.00311719,-0.0457813
-1.3300e-06,-0.00346094,-0.054375
-1.3200e-06,-0.00334375,-0.051875
-1.3100e-06,-0.00314844,-0.0523437
-1.3000e-06,-0.00316406,-0.0471875
-1.2900e-06,-0.003125,-0.04875
-1.2800e-06,-0.00328125,-0.0514062
-1.2700e-06,-0.00308594,-0.0484375
-1.2600e-06,-0.00311719,-0.05125
-1.2500e-06,-0.00315625,-0.0509375
-1.2400e-06,-0.00327344,-0.0529688
-1.2300e-06,-0.00341406,-0.0492188
-1.2200e-06,-0.00317188,-0.049375
-1.2100e-06,-0.00338281,-0.0496875
-1.2000e-06,-0.00326562,-0.0529688
-1.1900e-06,-0.00332031,-0.05
-1.1800e-06,-0.00328125,-0.0525
-1.1700e-06,-0.00314844,-0.0492188
-1.1600e-06,-0.00302344,-0.0471875
-1.1500e-06,-0.003375,-0.0501563
-1.1400e-06,-0.00335937,-0.0520313
-1.1300e-06,-0.00334375,-0.0504687
-1.1200e-06,-0.00313281,-0.0510938
-1.1100e-06,-0.00310938,-0.05125
-1.1000e-06,-0.00317969,-0.0514062
-1.0900e-06,-0.00326562,-0.0475
-1.0800e-06,-0.00319531,-0.0464062
-1.0700e-06,-0.00314844,-0.0554688
-1.0600e-06,-0.00341406,-0.04875
-1.0500e-06,-0.00327344,-0.0473438
-1.0400e-06,-0.0031875,-0.0532812
-1.0300e-06,-0.00321875,-0.054375
-1.0200e-06,-0.00307813,-0.044375
-1.0100e-06,-0.00335937,-0.0548437
-1.0000e-06,-0.00334375,-0.0525
-9.9000e-07,-0.00325781,-0.0503125
