Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,1.928e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.5,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
-7.2000e-07,-0.0261719,-0.0490625
-7.1600e-07,-0.0267969,-0.0515625
-7.1200e-07,-0.0257031,-0.0470312
-7.0800e-07,-0.02625,-0.0485938
-7.0400e-07,-0.0265625,-0.0475
-7.0000e-07,-0.0253125,-0.0484375
-6.9600e-07,-0.0253906,-0.04375
-6.9200e-07,-0.0248438,-0.0489062
-6.8800e-07,-0.0276563,-0.049375
-6.8400e-07,-0.0252344,-0.049375
-6.8000e-07,-0.0274219,-0.0514062
-6.7600e-07,-0.0257813,-0.046875
-6.7200e-07,-0.0252344,-0.0421875
-6.6800e-07,-0.0250781,-0.049375
-6.6400e-07,-0.0269531,-0.04625
-6.6000e-07,-0.0239844,-0.0473438
-6.5600e-07,-0.026875,-0.049375
-6.5200e-07,-0.0263281,-0.04875
-6.4800e-07,-0.0274219,-0.0534375
-6.4400e-07,-0.0253906,-0.0457813
-6.4000e-07,-0.0228906,-0.04375
-6.3600e-07,-0.0279688,-0.0526563
-6.3200e-07,-0.0269531,-0.0503125
-6.2800e-07,-0.0258594,-0.0476563
-6.2400e-07,-0.0276563,-0.0507812
-6.2000e-07,-0.0260937,-0.0498437
-6.1600e-07,-0.0242969,-0.0471875
-6.1200e-07,-0.0266406,-0.0517188
-6.0800e-07,-0.0271875,-0.0498437
-6.0400e-07,-0.0257031,-0.0495313
-6.0000e-07,-0.025625,-0.0473438
-5.9600e-07,-0.0258594,-0.0489062
-5.9200e-07,-0.0265625,-0.049375
-5.8800e-07,-0.0260156,-0.0492188
-5.8400e-07,-0.0259375,-0.0492188
-5.8000e-07,-0.0253906,-0.0475
-5.7600e-07,-0.02625,-0.0479687
-5.7200e-07,-0.0244531,-0.0465625
-5.6800e-07,-0.0244531,-0.0457813
-5.6400e-07,-0.025625,-0.04625
-5.6000e-07,-0.0265625,-0.051875
-5.5600e-07,-0.0259375,-0.0479687
-5.5200e-07,-0.0260156,-0.0503125
-5.4800e-07,-0.024375,-0.0471875
-5.4400e-07,-0.0252344,-0.0423438
-5.4000e-07,-0.0253125,-0.0485938
-5.3600e-07,-0.026875,-0.0503125
-5.3200e-07,-0.0249219,-0.0457813
-5.2800e-07,-0.0278906,-0.0446875
-5.2400e-07,-0.0261719,-0.0490625
-5.2000e-07,-0.0261719,-0.0498437
-5.1600e-07,-0.0246094,-0.0485938
-5.1200e-07,-0.0252344,-0.0434375
-5.0800e-07,-0.026875,-0.046875
-5.0400e-07,-0.0270312,-0.0523437
-5.0000e-07,-0.0245313,-0.0454687
-4.9600e-07,-0.0269531,-0.0521875
-4.9200e-07,-0.0275781,-0.0504687
-4.8800e-07,-0.0240625,-0.043125
-4.8400e-07,-0.0273438,-0.05
-4.8000e-07,-0.0266406,-0.0482813
-4.7600e-07,-0.024375,-0.0496875
