# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# 
# microseconds,volts
6.49800000e+00,-2.68750000e-03
6.50000020e+00,-2.58594000e-03
6.50200040e+00,-2.44531000e-03
6.50400060e+00,-2.32031000e-03
6.50600080e+00,-2.32031000e-03
6.50800100e+00,-2.14844000e-03
6.51000120e+00,-2.00781000e-03
6.51200140e+00,-2.10156000e-03
6.51400160e+00,-2.00781000e-03
6.51600180e+00,-1.98438000e-03
6.51800200e+00,-2.16406000e-03
6.52000220e+00,-2.08594000e-03
6.52200240e+00,-1.71875000e-03
6.52400260e+00,-1.86719000e-03
6.52600280e+00,-2.13281000e-03
6.52800300e+00,-2.14844000e-03
6.53000320e+00,-2.15625000e-03
6.53200340e+00,-2.39844000e-03
6.53400360e+00,-2.44531000e-03
6.53600380e+00,-2.41406000e-03
6.53800400e+00,-2.21875000e-03
6.54000420e+00,-2.84375000e-03
6.54200440e+00,-2.82031000e-03
6.54400460e+00,-2.67969000e-03
6.54600480e+00,-2.87500000e-03
6.54800500e+00,-2.90625000e-03
6.55000520e+00,-3.00781000e-03
6.55200540e+00,-3.03906000e-03
6.55400560e+00,-3.21094000e-03
6.55600580e+00,-3.21875000e-03
6.55800600e+00,-3.29687000e-03
6.56000620e+00,-3.25000000e-03
6.56200640e+00,-3.41406000e-03
6.56400660e+00,-3.54688000e-03
6.56600680e+00,-3.50781000e-03
6.56800700e+00,-3.51563000e-03
6.57000720e+00,-3.64063000e-03
6.57200740e+00,-3.76562000e-03
6.57400760e+00,-3.81250000e-03
6.57600780e+00,-3.92188000e-03
6.57800800e+00,-3.82031000e-03
6.58000820e+00,-3.93750000e-03
6.58200840e+00,-3.95313000e-03
6.58400860e+00,-3.82812000e-03
6.58600880e+00,-3.45313000e-03
6.58800900e+00,-3.62500000e-03
6.59000920e+00,-3.89844000e-03
6.59200940e+00,-3.81250000e-03
6.59400960e+00,-3.57031000e-03
6.59600980e+00,-3.42969000e-03
6.59801000e+00,-3.37500000e-03
6.60001020e+00,-3.43750000e-03
6.60201040e+00,-3.40625000e-03
6.60401060e+00,-3.14063000e-03
6.60601080e+00,-3.21094000e-03
6.60801100e+00,-3.18750000e-03
6.61001120e+00,-3.00781000e-03
6.61201140e+00,-3.09375000e-03
6.61401160e+00,-2.76562000e-03
6.61601180e+00,-2.87500000e-03
6.61801200e+00,-2.89844000e-03
6.62001220e+00,-2.64844000e-03
6.62201240e+00,-2.52344000e-03
6.62401260e+00,-2.62500000e-03
6.62601280e+00,-2.60156000e-03
6.62801300e+00,-2.49219000e-03
6.63001320e+00,-2.46875000e-03
6.63201340e+00,-2.56250000e-03
6.63401360e+00,-2.37500000e-03
6.63601380e+00,-2.23438000e-03
6.63801400e+00,-2.32812000e-03
6.64001420e+00,-2.39062000e-03
6.64201440e+00,-2.36719000e-03
6.64401460e+00,-2.40625000e-03
6.64601480e+00,-2.48438000e-03
6.64801500e+00,-2.49219000e-03
6.65001520e+00,-2.41406000e-03
6.65201540e+00,-2.46094000e-03
6.65401560e+00,-2.70313000e-03
6.65601580e+00,-2.48438000e-03
6.65801600e+00,-2.81250000e-03
6.66001620e+00,-2.69531000e-03
6.66201640e+00,-2.86719000e-03
6.66401660e+00,-2.82031000e-03
6.66601680e+00,-2.74219000e-03
6.66801700e+00,-3.07813000e-03
6.67001720e+00,-3.02344000e-03
6.67201740e+00,-3.11719000e-03
6.67401760e+00,-3.13281000e-03
6.67601780e+00,-3.22656000e-03
6.67801800e+00,-3.10938000e-03
6.68001820e+00,-3.50781000e-03
6.68201840e+00,-3.41406000e-03
