# time (microsecs), Volts
10.41680000,-0.00133438
10.41760008,-0.00136563
10.41840016,-0.00134063
10.41920024,-0.00127500
10.42000032,-0.00134375
10.42080040,-0.00140000
10.42160048,-0.00128438
10.42240056,-0.00137188
10.42320064,-0.00126875
10.42400072,-0.00135625
10.42480080,-0.00130313
10.42560088,-0.00133438
10.42640096,-0.00125625
10.42720104,-0.00132813
10.42800112,-0.00134687
10.42880120,-0.00136875
10.42960128,-0.00134687
10.43040136,-0.00127188
10.43120144,-0.00128438
10.43200152,-0.00130625
10.43280160,-0.00133438
10.43360168,-0.00131250
10.43440176,-0.00137813
10.43520184,-0.00133750
10.43600192,-0.00134375
10.43680200,-0.00136875
10.43760208,-0.00125938
10.43840216,-0.00138437
10.43920224,-0.00133125
10.44000232,-0.00125313
10.44080240,-0.00125000
10.44160248,-0.00127500
10.44240256,-0.00135313
10.44320264,-0.00127500
10.44400272,-0.00128125
10.44480280,-0.00125938
10.44560288,-0.00129063
10.44640296,-0.00138750
10.44720304,-0.00127188
10.44800312,-0.00132813
10.44880320,-0.00128750
10.44960328,-0.00131250
10.45040336,-0.00128438
10.45120344,-0.00129375
10.45200352,-0.00123750
10.45280360,-0.00137188
10.45360368,-0.00135625
10.45440376,-0.00130000
10.45520384,-0.00129688
10.45600392,-0.00125313
10.45680400,-0.00126250
10.45760408,-0.00128750
10.45840416,-0.00133750
10.45920424,-0.00125938
10.46000432,-0.00134063
10.46080440,-0.00135000
10.46160448,-0.00128438
10.46240456,-0.00125938
10.46320464,-0.00125313
10.46400472,-0.00133750
10.46480480,-0.00126875
10.46560488,-0.00127188
10.46640496,-0.00125938
10.46720504,-0.00124688
10.46800512,-0.00133125
10.46880520,-0.00125313
10.46960528,-0.00129375
10.47040536,-0.00127812
10.47120544,-0.00127812
10.47200552,-0.00137500
10.47280560,-0.00126875
10.47360568,-0.00131563
10.47440576,-0.00130625
10.47520584,-0.00128750
10.47600592,-0.00130313
10.47680600,-0.00129375
10.47760608,-0.00123750
10.47840616,-0.00132500
10.47920624,-0.00133438
10.48000632,-0.00128438
10.48080640,-0.00130625
10.48160648,-0.00124375
10.48240656,-0.00128438
10.48320664,-0.00129688
10.48400672,-0.00130000
10.48480680,-0.00124688
10.48560688,-0.00137813
10.48640696,-0.00131875
10.48720704,-0.00131563
10.48800712,-0.00130625
10.48880720,-0.00127188
10.48960728,-0.00136563
10.49040736,-0.00132500
10.49120744,-0.00127812
10.49200752,-0.00128125
10.49280760,-0.00127188
10.49360768,-0.00135625
10.49440776,-0.00124688
10.49520784,-0.00129688
10.49600792,-0.00127188
10.49680800,-0.00128750
10.49760808,-0.00142813
10.49840816,-0.00131875
10.49920824,-0.00140000
10.50000832,-0.00130313
10.50080840,-0.00137813
10.50160848,-0.00139375
10.50240856,-0.00131563
10.50320864,-0.00127188
10.50400872,-0.00138750
10.50480880,-0.00135625
10.50560888,-0.00136875
10.50640896,-0.00140313
10.50720904,-0.00129063
10.50800912,-0.00128125
10.50880920,-0.00139063
10.50960928,-0.00137500
10.51040936,-0.00133125
10.51120944,-0.00137813
10.51200952,-0.00135313
10.51280960,-0.00139688
10.51360968,-0.00139063
10.51440976,-0.00132813
10.51520984,-0.00144063
10.51600992,-0.00138750
10.51681000,-0.00139688
10.51761008,-0.00133125
10.51841016,-0.00130625
10.51921024,-0.00141875
10.52001032,-0.00134375
10.52081040,-0.00135000
10.52161048,-0.00131250
10.52241056,-0.00140625
10.52321064,-0.00145000
10.52401072,-0.00140938
10.52481080,-0.00145625
10.52561088,-0.00135625
10.52641096,-0.00143125
10.52721104,-0.00140000
10.52801112,-0.00141250
10.52881120,-0.00131250
10.52961128,-0.00140938
10.53041136,-0.00139688
10.53121144,-0.00140000
10.53201152,-0.00146875
10.53281160,-0.00137188
10.53361168,-0.00138125
10.53441176,-0.00142187
10.53521184,-0.00139063
10.53601192,-0.00136875
10.53681200,-0.00142187
10.53761208,-0.00146563
10.53841216,-0.00146563
10.53921224,-0.00136250
10.54001232,-0.00136563
10.54081240,-0.00145938
10.54161248,-0.00138437
10.54241256,-0.00148125
10.54321264,-0.00137813
10.54401272,-0.00132500
10.54481280,-0.00140938
10.54561288,-0.00141562
10.54641296,-0.00136563
10.54721304,-0.00133125
10.54801312,-0.00144688
10.54881320,-0.00142187
10.54961328,-0.00135938
10.55041336,-0.00148438
10.55121344,-0.00136563
10.55201352,-0.00146875
10.55281360,-0.00139688
10.55361368,-0.00141250
10.55441376,-0.00127812
10.55521384,-0.00143438
10.55601392,-0.00145625
10.55681400,-0.00143125
10.55761408,-0.00141875
10.55841416,-0.00135625
10.55921424,-0.00140313
10.56001432,-0.00140000
10.56081440,-0.00139063
10.56161448,-0.00135000
10.56241456,-0.00139688
10.56321464,-0.00141562
10.56401472,-0.00140625
10.56481480,-0.00136250
10.56561488,-0.00131250
10.56641496,-0.00145312
10.56721504,-0.00136875
10.56801512,-0.00137500
10.56881520,-0.00132813
10.56961528,-0.00130625
10.57041536,-0.00139375
10.57121544,-0.00136875
10.57201552,-0.00138437
10.57281560,-0.00130937
10.57361568,-0.00139375
10.57441576,-0.00142813
10.57521584,-0.00138437
10.57601592,-0.00142500
10.57681600,-0.00130625
10.57761608,-0.00137188
10.57841616,-0.00140313
10.57921624,-0.00139688
10.58001632,-0.00128438
10.58081640,-0.00142187
10.58161648,-0.00146250
10.58241656,-0.00140625
10.58321664,-0.00136563
10.58401672,-0.00127812
10.58481680,-0.00132813
10.58561688,-0.00135000
10.58641696,-0.00135938
10.58721704,-0.00130000
10.58801712,-0.00136563
10.58881720,-0.00138750
10.58961728,-0.00137500
10.59041736,-0.00136250
10.59121744,-0.00132813
10.59201752,-0.00147500
10.59281760,-0.00133750
10.59361768,-0.00131875
10.59441776,-0.00136875
10.59521784,-0.00128750
10.59601792,-0.00137500
10.59681800,-0.00131250
10.59761808,-0.00131875
10.59841816,-0.00127500
10.59921824,-0.00129375
10.60001832,-0.00137500
10.60081840,-0.00135313
10.60161848,-0.00142500
10.60241856,-0.00130313
10.60321864,-0.00142187
10.60401872,-0.00135625
10.60481880,-0.00137813
10.60561888,-0.00128438
10.60641896,-0.00139375
10.60721904,-0.00138437
10.60801912,-0.00136563
10.60881920,-0.00139063
10.60961928,-0.00130313
10.61041936,-0.00130000
10.61121944,-0.00132813
10.61201952,-0.00134687
10.61281960,-0.00130000
10.61361968,-0.00136875
10.61441976,-0.00135938
10.61521984,-0.00138750
10.61601992,-0.00135313
10.61682000,-0.00128125
10.61762008,-0.00140938
10.61842016,-0.00135313
10.61922024,-0.00132188
10.62002032,-0.00135938
10.62082040,-0.00133750
10.62162048,-0.00137813
10.62242056,-0.00135000
10.62322064,-0.00135938
10.62402072,-0.00132500
10.62482080,-0.00129688
10.62562088,-0.00140000
10.62642096,-0.00136563
10.62722104,-0.00140000
10.62802112,-0.00134375
10.62882120,-0.00143438
10.62962128,-0.00136250
10.63042136,-0.00134063
10.63122144,-0.00128125
10.63202152,-0.00137188
10.63282160,-0.00141250
10.63362168,-0.00137813
10.63442176,-0.00137813
10.63522184,-0.00140000
10.63602192,-0.00136563
10.63682200,-0.00144688
10.63762208,-0.00138125
10.63842216,-0.00139063
10.63922224,-0.00138750
10.64002232,-0.00140313
10.64082240,-0.00137500
10.64162248,-0.00139063
10.64242256,-0.00130937
10.64322264,-0.00151875
10.64402272,-0.00135938
10.64482280,-0.00133125
10.64562288,-0.00140000
10.64642296,-0.00133125
10.64722304,-0.00140313
10.64802312,-0.00140313
10.64882320,-0.00134687
10.64962328,-0.00131875
10.65042336,-0.00140000
10.65122344,-0.00145312
10.65202352,-0.00141562
10.65282360,-0.00147813
10.65362368,-0.00135625
10.65442376,-0.00139063
10.65522384,-0.00145312
10.65602392,-0.00142187
10.65682400,-0.00128750
10.65762408,-0.00142187
10.65842416,-0.00137188
10.65922424,-0.00138750
10.66002432,-0.00137500
10.66082440,-0.00141562
10.66162448,-0.00138125
10.66242456,-0.00137813
10.66322464,-0.00137188
10.66402472,-0.00135000
10.66482480,-0.00139375
10.66562488,-0.00139375
10.66642496,-0.00143750
10.66722504,-0.00138437
10.66802512,-0.00136875
10.66882520,-0.00148750
10.66962528,-0.00135313
10.67042536,-0.00130000
10.67122544,-0.00140625
10.67202552,-0.00132188
10.67282560,-0.00140938
10.67362568,-0.00137500
10.67442576,-0.00140313
10.67522584,-0.00130313
10.67602592,-0.00141562
10.67682600,-0.00144375
10.67762608,-0.00136250
10.67842616,-0.00146875
10.67922624,-0.00132500
10.68002632,-0.00143125
10.68082640,-0.00141250
10.68162648,-0.00133750
10.68242656,-0.00128438
10.68322664,-0.00140313
10.68402672,-0.00140625
10.68482680,-0.00139063
10.68562688,-0.00139063
10.68642696,-0.00131875
10.68722704,-0.00137188
10.68802712,-0.00139063
10.68882720,-0.00138750
10.68962728,-0.00133438
10.69042736,-0.00136250
10.69122744,-0.00136250
10.69202752,-0.00137500
10.69282760,-0.00132500
10.69362768,-0.00131875
10.69442776,-0.00145312
10.69522784,-0.00135000
10.69602792,-0.00126563
10.69682800,-0.00130313
10.69762808,-0.00130313
10.69842816,-0.00138437
10.69922824,-0.00134687
10.70002832,-0.00133125
10.70082840,-0.00130625
10.70162848,-0.00140938
10.70242856,-0.00139375
10.70322864,-0.00135000
10.70402872,-0.00141250
10.70482880,-0.00137188
10.70562888,-0.00140938
10.70642896,-0.00139063
10.70722904,-0.00141250
10.70802912,-0.00131250
10.70882920,-0.00142813
10.70962928,-0.00136563
10.71042936,-0.00138437
10.71122944,-0.00135938
10.71202952,-0.00138750
10.71282960,-0.00137813
10.71362968,-0.00135000
10.71442976,-0.00138125
10.71522984,-0.00136250
10.71602992,-0.00134687
10.71683000,-0.00142500
10.71763008,-0.00137813
10.71843016,-0.00136250
10.71923024,-0.00133125
10.72003032,-0.00147500
10.72083040,-0.00135938
10.72163048,-0.00136250
10.72243056,-0.00141562
10.72323064,-0.00135938
10.72403072,-0.00140625
10.72483080,-0.00136875
10.72563088,-0.00143750
10.72643096,-0.00134687
10.72723104,-0.00143438
10.72803112,-0.00142500
10.72883120,-0.00145000
10.72963128,-0.00150313
10.73043136,-0.00134375
10.73123144,-0.00146250
10.73203152,-0.00147813
10.73283160,-0.00144375
10.73363168,-0.00134375
10.73443176,-0.00146563
10.73523184,-0.00144063
10.73603192,-0.00144375
10.73683200,-0.00146875
10.73763208,-0.00136875
10.73843216,-0.00139375
10.73923224,-0.00142813
10.74003232,-0.00147188
10.74083240,-0.00142500
10.74163248,-0.00140625
10.74243256,-0.00147813
10.74323264,-0.00149688
10.74403272,-0.00142500
10.74483280,-0.00137188
10.74563288,-0.00158750
10.74643296,-0.00144375
10.74723304,-0.00145938
10.74803312,-0.00144063
10.74883320,-0.00141875
10.74963328,-0.00145000
10.75043336,-0.00150313
10.75123344,-0.00148125
10.75203352,-0.00138125
10.75283360,-0.00142813
10.75363368,-0.00147813
10.75443376,-0.00148750
10.75523384,-0.00156250
10.75603392,-0.00137188
10.75683400,-0.00148125
10.75763408,-0.00153438
10.75843416,-0.00145000
10.75923424,-0.00135313
10.76003432,-0.00143750
10.76083440,-0.00146875
10.76163448,-0.00145938
10.76243456,-0.00146875
10.76323464,-0.00140625
10.76403472,-0.00145312
10.76483480,-0.00139063
10.76563488,-0.00145312
10.76643496,-0.00139375
10.76723504,-0.00139688
10.76803512,-0.00147188
10.76883520,-0.00148438
10.76963528,-0.00138125
10.77043536,-0.00138125
10.77123544,-0.00154688
10.77203552,-0.00139063
10.77283560,-0.00137813
10.77363568,-0.00137500
10.77443576,-0.00135313
10.77523584,-0.00141875
10.77603592,-0.00133438
10.77683600,-0.00138437
10.77763608,-0.00133438
10.77843616,-0.00140938
10.77923624,-0.00136563
10.78003632,-0.00137813
10.78083640,-0.00144063
10.78163648,-0.00128750
10.78243656,-0.00139375
10.78323664,-0.00142500
10.78403672,-0.00137813
10.78483680,-0.00126250
10.78563688,-0.00140938
10.78643696,-0.00135000
10.78723704,-0.00134375
10.78803712,-0.00133438
10.78883720,-0.00130313
