# time (microsecs), Volts
9.82880000,-0.00273438
9.82960008,-0.00267188
9.83040016,-0.00248438
9.83120024,-0.00263281
9.83200032,-0.00268750
9.83280040,-0.00252344
9.83360048,-0.00252344
9.83440056,-0.00260938
9.83520064,-0.00268750
9.83600072,-0.00257813
9.83680080,-0.00274219
9.83760088,-0.00260938
9.83840096,-0.00245313
9.83920104,-0.00255469
9.84000112,-0.00273438
9.84080120,-0.00264063
9.84160128,-0.00265625
9.84240136,-0.00253125
9.84320144,-0.00278906
9.84400152,-0.00251563
9.84480160,-0.00240625
9.84560168,-0.00283594
9.84640176,-0.00278125
9.84720184,-0.00244531
9.84800192,-0.00269531
9.84880200,-0.00260156
9.84960208,-0.00251563
9.85040216,-0.00265625
9.85120224,-0.00268750
9.85200232,-0.00270313
9.85280240,-0.00257813
9.85360248,-0.00263281
9.85440256,-0.00265625
9.85520264,-0.00260938
9.85600272,-0.00257813
9.85680280,-0.00257813
9.85760288,-0.00257813
9.85840296,-0.00247656
9.85920304,-0.00244531
9.86000312,-0.00245313
9.86080320,-0.00269531
9.86160328,-0.00247656
9.86240336,-0.00257813
9.86320344,-0.00258594
9.86400352,-0.00243750
9.86480360,-0.00256250
9.86560368,-0.00271875
9.86640376,-0.00237500
9.86720384,-0.00273438
9.86800392,-0.00258594
9.86880400,-0.00255469
9.86960408,-0.00252344
9.87040416,-0.00225781
9.87120424,-0.00273438
9.87200432,-0.00262500
9.87280440,-0.00239844
9.87360448,-0.00271875
9.87440456,-0.00270313
9.87520464,-0.00239062
9.87600472,-0.00266406
9.87680480,-0.00242969
9.87760488,-0.00255469
9.87840496,-0.00232812
9.87920504,-0.00253906
9.88000512,-0.00267188
9.88080520,-0.00248438
9.88160528,-0.00252344
9.88240536,-0.00258594
9.88320544,-0.00245313
9.88400552,-0.00235156
9.88480560,-0.00234375
9.88560568,-0.00254688
9.88640576,-0.00273438
9.88720584,-0.00255469
9.88800592,-0.00271875
9.88880600,-0.00248438
9.88960608,-0.00250781
9.89040616,-0.00257031
9.89120624,-0.00271875
9.89200632,-0.00236719
9.89280640,-0.00267969
9.89360648,-0.00266406
9.89440656,-0.00266406
9.89520664,-0.00244531
9.89600672,-0.00244531
9.89680680,-0.00280469
9.89760688,-0.00259375
9.89840696,-0.00247656
9.89920704,-0.00265625
9.90000712,-0.00268750
9.90080720,-0.00239062
9.90160728,-0.00261719
9.90240736,-0.00264844
9.90320744,-0.00257813
9.90400752,-0.00242187
9.90480760,-0.00248438
9.90560768,-0.00260938
9.90640776,-0.00264844
9.90720784,-0.00249219
9.90800792,-0.00267969
9.90880800,-0.00265625
9.90960808,-0.00247656
