# time (microsecs), Volts
9.40800000,-0.00116094
9.41200040,-0.00120000
9.41600080,-0.00126406
9.42000120,-0.00124844
9.42400160,-0.00128594
9.42800200,-0.00128906
9.43200240,-0.00128594
9.43600280,-0.00131719
9.44000320,-0.00137344
9.44400360,-0.00133906
9.44800400,-0.00137031
9.45200440,-0.00135156
9.45600480,-0.00134219
9.46000520,-0.00136875
9.46400560,-0.00137500
9.46800600,-0.00130469
9.47200640,-0.00125469
9.47600680,-0.00126094
9.48000720,-0.00124688
9.48400760,-0.00115156
9.48800800,-0.00117031
9.49200840,-0.00111250
9.49600880,-0.00112500
9.50000920,-0.00108906
9.50400960,-0.00106094
9.50801000,-0.00106406
9.51201040,-0.00103281
9.51601080,-0.00101094
9.52001120,-0.00102969
9.52401160,-0.00101719
9.52801200,-0.00100625
9.53201240,-0.00101875
9.53601280,-0.00105000
9.54001320,-0.00102969
9.54401360,-0.00105156
9.54801400,-0.00104375
9.55201440,-0.00112656
9.55601480,-0.00115000
9.56001520,-0.00118594
9.56401560,-0.00120312
9.56801600,-0.00122188
9.57201640,-0.00126406
9.57601680,-0.00130469
9.58001720,-0.00129219
9.58401760,-0.00127344
9.58801800,-0.00133281
9.59201840,-0.00136406
9.59601880,-0.00133750
9.60001920,-0.00137031
9.60401960,-0.00136250
9.60802000,-0.00139063
9.61202040,-0.00134844
9.61602080,-0.00127812
9.62002120,-0.00134219
9.62402160,-0.00132813
9.62802200,-0.00125781
9.63202240,-0.00125156
9.63602280,-0.00124688
9.64002320,-0.00115313
9.64402360,-0.00121250
9.64802400,-0.00114844
9.65202440,-0.00112813
9.65602480,-0.00105781
9.66002520,-0.00105781
9.66402560,-0.00107813
9.66802600,-0.00101563
9.67202640,-0.00104844
9.67602680,-0.00101250
9.68002720,-0.00104219
9.68402760,-0.00109531
9.68802800,-0.00104531
9.69202840,-0.00111719
9.69602880,-0.00107344
9.70002920,-0.00113750
9.70402960,-0.00113281
9.70803000,-0.00113594
9.71203040,-0.00111250
9.71603080,-0.00114531
9.72003120,-0.00121875
9.72403160,-0.00118438
9.72803200,-0.00122969
9.73203240,-0.00126719
9.73603280,-0.00128438
9.74003320,-0.00128281
9.74403360,-0.00124531
9.74803400,-0.00133594
9.75203440,-0.00134687
9.75603480,-0.00131875
9.76003520,-0.00135000
9.76403560,-0.00135156
9.76803600,-0.00128750
9.77203640,-0.00133438
9.77603680,-0.00132500
9.78003720,-0.00131563
9.78403760,-0.00126563
9.78803800,-0.00123750
9.79203840,-0.00122813
9.79603880,-0.00124219
9.80003920,-0.00122813
9.80403960,-0.00118594
9.80804000,-0.00115938
9.81204040,-0.00118750
9.81604080,-0.00113594
9.82004120,-0.00115781
9.82404160,-0.00115938
9.82804200,-0.00115000
9.83204240,-0.00115625
9.83604280,-0.00116094
9.84004320,-0.00110000
9.84404360,-0.00114688
9.84804400,-0.00118594
9.85204440,-0.00119688
9.85604480,-0.00120938
9.86004520,-0.00119688
9.86404560,-0.00124062
9.86804600,-0.00124688
9.87204640,-0.00121719
9.87604680,-0.00123125
9.88004720,-0.00129531
9.88404760,-0.00128594
9.88804800,-0.00133125
9.89204840,-0.00129844
9.89604880,-0.00132344
9.90004920,-0.00135938
9.90404960,-0.00132344
9.90805001,-0.00136719
9.91205041,-0.00137188
9.91605081,-0.00135156
9.92005121,-0.00126563
9.92405161,-0.00130000
9.92805201,-0.00120156
9.93205241,-0.00119375
9.93605281,-0.00120625
9.94005321,-0.00121563
9.94405361,-0.00117969
9.94805401,-0.00117813
9.95205441,-0.00111719
9.95605481,-0.00102969
9.96005521,-0.00107031
9.96405561,-0.00102344
9.96805601,-0.00102969
9.97205641,-0.00096406
9.97605681,-0.00095781
9.98005721,-0.00090938
9.98405761,-0.00086719
9.98805801,-0.00085781
9.99205841,-0.00085156
9.99605881,-0.00083594
10.00005921,-0.00075156
10.00405961,-0.00071563
10.00806001,-0.00069688
10.01206041,-0.00074063
10.01606081,-0.00071719
10.02006121,-0.00069063
10.02406161,-0.00064531
10.02806201,-0.00069844
10.03206241,-0.00068906
10.03606281,-0.00063750
10.04006321,-0.00062812
10.04406361,-0.00065156
10.04806401,-0.00068906
10.05206441,-0.00068906
10.05606481,-0.00070625
10.06006521,-0.00068281
10.06406561,-0.00072344
10.06806601,-0.00073594
10.07206641,-0.00072656
10.07606681,-0.00078750
10.08006721,-0.00072813
10.08406761,-0.00077031
10.08806801,-0.00080625
10.09206841,-0.00081875
10.09606881,-0.00076406
10.10006921,-0.00083125
10.10406961,-0.00090781
10.10807001,-0.00091406
10.11207041,-0.00100000
10.11607081,-0.00101250
10.12007121,-0.00102656
10.12407161,-0.00106875
10.12807201,-0.00111406
10.13207241,-0.00110938
10.13607281,-0.00112813
10.14007321,-0.00113906
10.14407361,-0.00117500
10.14807401,-0.00119063
10.15207441,-0.00114375
10.15607481,-0.00119375
10.16007521,-0.00116250
10.16407561,-0.00116875
10.16807601,-0.00111719
10.17207641,-0.00107500
10.17607681,-0.00110313
10.18007721,-0.00104063
10.18407761,-0.00103438
10.18807801,-0.00098594
10.19207841,-0.00100938
10.19607881,-0.00090469
10.20007921,-0.00086250
10.20407961,-0.00083125
10.20808001,-0.00081563
10.21208041,-0.00079375
10.21608081,-0.00074063
10.22008121,-0.00071094
10.22408161,-0.00063438
10.22808201,-0.00065625
10.23208241,-0.00061719
10.23608281,-0.00061250
10.24008321,-0.00059063
10.24408361,-0.00056719
10.24808401,-0.00058750
10.25208441,-0.00057500
10.25608481,-0.00059375
10.26008521,-0.00062969
10.26408561,-0.00064219
10.26808601,-0.00067813
10.27208641,-0.00069688
10.27608681,-0.00068906
10.28008721,-0.00068750
10.28408761,-0.00077500
