# time (microsecs), Volts
8.90800000,-0.00073906
8.91200040,-0.00078125
8.91600080,-0.00081563
8.92000120,-0.00081406
8.92400160,-0.00087500
8.92800200,-0.00092344
8.93200240,-0.00095781
8.93600280,-0.00101719
8.94000320,-0.00101250
8.94400360,-0.00107188
8.94800400,-0.00114375
8.95200440,-0.00114063
8.95600480,-0.00110000
8.96000520,-0.00112656
8.96400560,-0.00118594
8.96800600,-0.00119688
8.97200640,-0.00117187
8.97600680,-0.00117969
8.98000720,-0.00115156
8.98400760,-0.00115000
8.98800800,-0.00116250
8.99200840,-0.00112031
8.99600880,-0.00111563
9.00000920,-0.00109063
9.00400960,-0.00104688
9.00801000,-0.00103438
9.01201040,-0.00095156
9.01601080,-0.00097656
9.02001120,-0.00090938
9.02401160,-0.00089844
9.02801200,-0.00084063
9.03201240,-0.00080938
9.03601280,-0.00078594
9.04001320,-0.00078125
9.04401360,-0.00075781
9.04801400,-0.00078438
9.05201440,-0.00077969
9.05601480,-0.00081406
9.06001520,-0.00078438
9.06401560,-0.00080469
9.06801600,-0.00082813
9.07201640,-0.00088125
9.07601680,-0.00091875
9.08001720,-0.00093438
9.08401760,-0.00100625
9.08801800,-0.00101875
9.09201840,-0.00104531
9.09601880,-0.00109375
9.10001920,-0.00112500
9.10401960,-0.00111563
9.10802000,-0.00110313
9.11202040,-0.00112344
9.11602080,-0.00115625
9.12002120,-0.00116094
9.12402160,-0.00118281
9.12802200,-0.00117500
9.13202240,-0.00122344
9.13602280,-0.00121719
9.14002320,-0.00113125
9.14402360,-0.00120312
9.14802400,-0.00117500
9.15202440,-0.00115938
9.15602480,-0.00106875
9.16002520,-0.00105625
9.16402560,-0.00107500
9.16802600,-0.00100469
9.17202640,-0.00098750
9.17602680,-0.00093438
9.18002720,-0.00092813
9.18402760,-0.00087812
9.18802800,-0.00085000
9.19202840,-0.00083125
9.19602880,-0.00084063
9.20002920,-0.00080938
9.20402960,-0.00082500
9.20803000,-0.00080000
9.21203040,-0.00073750
9.21603080,-0.00078750
9.22003120,-0.00084219
9.22403160,-0.00081250
9.22803200,-0.00084063
9.23203240,-0.00088281
9.23603280,-0.00093281
9.24003320,-0.00091563
9.24403360,-0.00092813
9.24803400,-0.00100781
9.25203440,-0.00105937
9.25603480,-0.00105313
9.26003520,-0.00110469
9.26403560,-0.00111250
9.26803600,-0.00111563
9.27203640,-0.00121875
9.27603680,-0.00121563
9.28003720,-0.00123125
9.28403760,-0.00120938
9.28803800,-0.00120625
9.29203840,-0.00122031
9.29603880,-0.00123594
9.30003920,-0.00120312
