Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,1.928e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.2,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
-7.2000e-07,-0.0080625,-0.040625
-7.1600e-07,-0.0090625,-0.04625
-7.1200e-07,-0.008625,-0.0470312
-7.0800e-07,-0.00925,-0.0428125
-7.0400e-07,-0.0093125,-0.0457813
-7.0000e-07,-0.008625,-0.0434375
-6.9600e-07,-0.00840625,-0.0414063
-6.9200e-07,-0.00828125,-0.0410937
-6.8800e-07,-0.00840625,-0.04375
-6.8400e-07,-0.009,-0.0442188
-6.8000e-07,-0.00921875,-0.045
-6.7600e-07,-0.00865625,-0.0439063
-6.7200e-07,-0.0075,-0.0403125
-6.6800e-07,-0.00815625,-0.04125
-6.6400e-07,-0.0091875,-0.0451563
-6.6000e-07,-0.00865625,-0.0432813
-6.5600e-07,-0.00878125,-0.043125
-6.5200e-07,-0.00946875,-0.044375
-6.4800e-07,-0.0095,-0.0448438
-6.4400e-07,-0.00884375,-0.0407813
-6.4000e-07,-0.008625,-0.0390625
-6.3600e-07,-0.00828125,-0.0385937
-6.3200e-07,-0.00853125,-0.0465625
-6.2800e-07,-0.00878125,-0.045
-6.2400e-07,-0.00921875,-0.0434375
-6.2000e-07,-0.00928125,-0.043125
-6.1600e-07,-0.0078125,-0.0370313
-6.1200e-07,-0.00971875,-0.0473438
-6.0800e-07,-0.00871875,-0.0448438
-6.0400e-07,-0.00946875,-0.0440625
-6.0000e-07,-0.00903125,-0.0404688
-5.9600e-07,-0.00834375,-0.0420312
-5.9200e-07,-0.0086875,-0.0429688
-5.8800e-07,-0.00896875,-0.045625
-5.8400e-07,-0.00928125,-0.0420312
-5.8000e-07,-0.00859375,-0.0426562
-5.7600e-07,-0.009375,-0.0454687
-5.7200e-07,-0.0085,-0.04375
-5.6800e-07,-0.008375,-0.045
-5.6400e-07,-0.00815625,-0.0435937
-5.6000e-07,-0.00896875,-0.0439063
-5.5600e-07,-0.00940625,-0.0414063
-5.5200e-07,-0.00903125,-0.0453125
-5.4800e-07,-0.0088125,-0.0428125
-5.4400e-07,-0.0075,-0.035625
-5.4000e-07,-0.00815625,-0.041875
-5.3600e-07,-0.0091875,-0.0448438
-5.3200e-07,-0.00853125,-0.0420312
-5.2800e-07,-0.009,-0.0439063
-5.2400e-07,-0.008875,-0.041875
-5.2000e-07,-0.00921875,-0.0471875
-5.1600e-07,-0.0085,-0.0425
-5.1200e-07,-0.00796875,-0.0415625
-5.0800e-07,-0.0085,-0.0378125
-5.0400e-07,-0.00921875,-0.04625
-5.0000e-07,-0.0083125,-0.0454687
-4.9600e-07,-0.00871875,-0.045
-4.9200e-07,-0.00934375,-0.0439063
-4.8800e-07,-0.00778125,-0.0384375
-4.8400e-07,-0.00921875,-0.0453125
-4.8000e-07,-0.0090625,-0.0432813
-4.7600e-07,-0.00871875,-0.0434375
-4.7200e-07,-0.00871875,-0.0423438
