Model,DPO3014
Firmware Version,2.40

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,4e-06,
Horizontal Delay,2.768e-05,
Sample Interval,4e-09,
Record Length,10000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,0.1,
Vertical Position,0,
,,
,,
,,
Label,,
TIME,CH1,CH4
7.6800e-06,-0.00451562,3.45109
7.6840e-06,-0.00484375,3.45281
7.6880e-06,-0.0048125,3.45312
7.6920e-06,-0.00485937,3.45359
7.6960e-06,-0.00470312,3.44969
7.7000e-06,-0.0045,3.44781
7.7040e-06,-0.00454687,3.4525
7.7080e-06,-0.00464062,3.44875
7.7120e-06,-0.00478125,3.45453
7.7160e-06,-0.004875,3.45047
7.7200e-06,-0.00485937,3.45328
7.7240e-06,-0.00475,3.45047
7.7280e-06,-0.0044375,3.45609
7.7320e-06,-0.00475,3.45
7.7360e-06,-0.005125,3.44984
7.7400e-06,-0.00435938,3.45172
7.7440e-06,-0.00442188,3.45172
7.7480e-06,-0.00482812,3.45453
7.7520e-06,-0.00510938,3.45266
7.7560e-06,-0.0045625,3.45234
7.7600e-06,-0.0045,3.45031
7.7640e-06,-0.00485937,3.45422
7.7680e-06,-0.00507813,3.45078
7.7720e-06,-0.0048125,3.45094
7.7760e-06,-0.0053125,3.44766
7.7800e-06,-0.005,3.45047
7.7840e-06,-0.00421875,3.45391
7.7880e-06,-0.00503125,3.44859
7.7920e-06,-0.0049375,3.45188
7.7960e-06,-0.00489063,3.45094
7.8000e-06,-0.00467187,3.45391
7.8040e-06,-0.00473437,3.45281
7.8080e-06,-0.004625,3.45047
7.8120e-06,-0.00467187,3.45109
7.8160e-06,-0.00485937,3.45312
7.8200e-06,-0.00476562,3.45281
7.8240e-06,-0.00484375,3.45328
7.8280e-06,-0.00459375,3.44906
7.8320e-06,-0.00446875,3.45297
7.8360e-06,-0.00446875,3.4475
7.8400e-06,-0.00471875,3.45109
7.8440e-06,-0.004875,3.45188
7.8480e-06,-0.00489063,3.44969
7.8520e-06,-0.00478125,3.45141
7.8560e-06,-0.00432813,3.45672
7.8600e-06,-0.00495313,3.45109
7.8640e-06,-0.00484375,3.44828
7.8680e-06,-0.00475,3.45
7.8720e-06,-0.00476562,3.45063
7.8760e-06,-0.00479687,3.45016
7.8800e-06,-0.00478125,3.45375
7.8840e-06,-0.00465625,3.45078
7.8880e-06,-0.00442188,3.44969
7.8920e-06,-0.0050625,3.45516
7.8960e-06,-0.00498438,3.45063
7.9000e-06,-0.00451562,3.44906
7.9040e-06,-0.005,3.45047
7.9080e-06,-0.00507813,3.45031
7.9120e-06,-0.0043125,3.45656
7.9160e-06,-0.00520313,3.44531
7.9200e-06,-0.00470312,3.45
7.9240e-06,-0.0048125,3.4525
7.9280e-06,-0.00454687,3.45312
7.9320e-06,-0.00482812,3.45328
7.9360e-06,-0.00492188,3.45266
7.9400e-06,-0.00495313,3.45031
7.9440e-06,-0.0045625,3.45328
7.9480e-06,-0.00482812,3.45406
7.9520e-06,-0.00515625,3.44922
7.9560e-06,-0.00453125,3.44984
7.9600e-06,-0.00459375,3.44969
